Item_Identifier,Item_Weight,Item_Visibility,Year,Outlet_Identifier,Item_Type,Item_MRP,MRP_Level,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Converted Sales
FDA15,9.3,0.016047301,17,OUT049,Dairy,249.8092,Very_High,2,Tier 1,Supermarket Type1,3735.138,2.428
DRC01,5.92,0.019278216,7,OUT018,Soft Drinks,48.2692,Low,2,Tier 3,Supermarket Type2,443.4228,0.288
FDN15,17.5,0.016760075,17,OUT049,Meat,141.618,High,2,Tier 1,Supermarket Type1,2097.27,1.363
FDX07,19.2,0.022929863,18,OUT010,Fruits and Vegetables,182.095,High,2,Tier 3,Grocery Store,732.38,0.476
NCD19,8.93,0.014669743,29,OUT013,Household,53.8614,Low,1,Tier 3,Supermarket Type1,994.7052,0.647
FDP36,10.395,0.091293902,7,OUT018,Baking Goods,51.4008,Low,2,Tier 3,Supermarket Type2,556.6088,0.362
FDO10,13.65,0.012741089,29,OUT013,Snack Foods,57.6588,Low,1,Tier 3,Supermarket Type1,343.5528,0.223
FDP10,19,0.127469857,31,OUT027,Snack Foods,107.7622,Medium,2,Tier 3,Supermarket Type3,4022.7636,2.615
FDH17,16.2,0.016687114,14,OUT045,Frozen Foods,96.9726,Medium,2,Tier 2,Supermarket Type1,1076.5986,0.7
FDU28,19.2,0.09444959,9,OUT017,Frozen Foods,187.8214,High,2,Tier 2,Supermarket Type1,4710.535,3.062
FDY07,11.8,0.121879573,17,OUT049,Fruits and Vegetables,45.5402,Low,2,Tier 1,Supermarket Type1,1516.0266,0.985
FDA03,18.5,0.045463773,19,OUT046,Dairy,144.1102,High,3,Tier 1,Supermarket Type1,2187.153,1.422
FDX32,15.1,0.1000135,17,OUT049,Fruits and Vegetables,145.4786,High,2,Tier 1,Supermarket Type1,1589.2646,1.033
FDS46,17.6,0.047257328,19,OUT046,Snack Foods,119.6782,Medium,3,Tier 1,Supermarket Type1,2145.2076,1.394
FDF32,16.35,0.0680243,29,OUT013,Fruits and Vegetables,196.4426,High,1,Tier 3,Supermarket Type1,1977.426,1.285
FDP49,9,0.069088961,19,OUT046,Breakfast,56.3614,Low,3,Tier 1,Supermarket Type1,1547.3192,1.006
NCB42,11.8,0.008596051,7,OUT018,Health and Hygiene,115.3492,Medium,2,Tier 3,Supermarket Type2,1621.8888,1.054
FDP49,9,0.069196376,17,OUT049,Breakfast,54.3614,Low,2,Tier 1,Supermarket Type1,718.3982,0.467
DRI11,8.26,0.034237682,31,OUT027,Hard Drinks,113.2834,Medium,2,Tier 3,Supermarket Type3,2303.668,1.497
FDU02,13.35,0.10249212,12,OUT035,Dairy,230.5352,Very_High,3,Tier 2,Supermarket Type1,2748.4224,1.786
FDN22,18.85,0.138190277,29,OUT013,Snack Foods,250.8724,Very_High,1,Tier 3,Supermarket Type1,3775.086,2.454
FDW12,8.315,0.035399923,31,OUT027,Baking Goods,144.5444,High,2,Tier 3,Supermarket Type3,4064.0432,2.642
NCB30,14.6,0.025698134,12,OUT035,Household,196.5084,High,3,Tier 2,Supermarket Type1,1587.2672,1.032
FDC37,15.5,0.057556998,31,OUT019,Baking Goods,107.6938,Medium,3,Tier 1,Grocery Store,214.3876,0.139
FDR28,13.85,0.025896485,19,OUT046,Frozen Foods,165.021,High,3,Tier 1,Supermarket Type1,4078.025,2.651
NCD06,13,0.099887103,9,OUT017,Household,45.906,Low,2,Tier 2,Supermarket Type1,838.908,0.545
FDV10,7.645,0.066693437,12,OUT035,Snack Foods,42.3112,Low,3,Tier 2,Supermarket Type1,1065.28,0.692
DRJ59,11.65,0.019356132,29,OUT013,Hard Drinks,39.1164,Low,1,Tier 3,Supermarket Type1,308.9312,0.201
